NAMESPACE      LAST SEEN   TYPE      REASON                    OBJECT                                 MESSAGE
upgrade-demo   77m         Normal    Created                   pod/nginx-demo-787b5dd6c9-mq8fm        Container created
upgrade-demo   77m         Normal    Started                   pod/nginx-demo-787b5dd6c9-mq8fm        Container started
upgrade-demo   77m         Normal    Started                   pod/nginx-demo-787b5dd6c9-fvsbn        Container started
upgrade-demo   77m         Normal    Created                   pod/nginx-demo-787b5dd6c9-fvsbn        Container created
upgrade-demo   77m         Normal    Pulled                    pod/nginx-demo-787b5dd6c9-fvsbn        Successfully pulled image "nginx:1.27" in 3.121s (3.121s including waiting). Image size: 72406859 bytes.
upgrade-demo   77m         Normal    Created                   pod/nginx-demo-787b5dd6c9-rf2bl        Container created
upgrade-demo   77m         Normal    Started                   pod/nginx-demo-787b5dd6c9-rf2bl        Container started
upgrade-demo   76m         Normal    EnsuringLoadBalancer      service/nginx-service                  Ensuring load balancer
upgrade-demo   76m         Normal    EnsuredLoadBalancer       service/nginx-service                  Ensured load balancer
kube-system    30m         Normal    LeaderElection            lease/kube-controller-manager          ip-10-0-118-81.ec2.internal_043055b8-41d6-4c29-9165-e78c51c3821e became leader
default        30m         Normal    RegisteredNode            node/ip-192-168-48-229.ec2.internal    Node ip-192-168-48-229.ec2.internal event: Registered Node ip-192-168-48-229.ec2.internal in Controller
default        30m         Normal    RegisteredNode            node/ip-192-168-17-4.ec2.internal      Node ip-192-168-17-4.ec2.internal event: Registered Node ip-192-168-17-4.ec2.internal in Controller
kube-system    30m         Normal    LeaderElection            lease/kube-scheduler                   ip-10-0-118-81.ec2.internal_b16b36fa-35c1-4366-b217-882bd6be8ce6 became leader
kube-system    30m         Normal    LeaderElection            lease/cloud-controller-manager         ip-10-0-47-74.ec2.internal_e7768e82-7556-47ff-8317-f915cdf365c6 became leader
upgrade-demo   30m         Normal    EnsuringLoadBalancer      service/nginx-service                  Ensuring load balancer
upgrade-demo   30m         Normal    EnsuredLoadBalancer       service/nginx-service                  Ensured load balancer
kube-system    29m         Normal    LeaderElection            lease/eks-certificates-controller      ip-10-0-47-74.ec2.internal became leader
kube-system    29m         Normal    LeaderElection            lease/eks-coredns-autoscaler           ip-10-0-118-81.ec2.internal_2ea46255-4879-4f30-9984-2bfe923959d9 became leader
kube-system    29m         Normal    LeaderElection            lease/cp-vpc-resource-controller       ip-10-0-47-74.ec2.internal_c6a6ec86-62f9-4089-995b-d5187d162574 became leader
kube-system    10m         Normal    LeaderElection            lease/kube-scheduler                   ip-10-0-117-200.ec2.internal_2eabfe10-e412-412b-977d-c087503bdeaf became leader
